node1,lat1,lon1,node2,lat2,lon2,heat
1274111627,46.5524327,6.6333377,2110621908,46.5530457,6.6337925,2
563021226,46.5263388,6.6174200,595392132,46.5263800,6.6173132,2
1444350167,46.5336537,6.5984961,5678254263,46.5341941,6.5984754,2
414225765,46.5154844,6.6910791,414225771,46.5154048,6.6909857,2
1611634393,46.5152932,6.6492641,564200509,46.5153228,6.6493987,2
262480362,46.5467086,6.6045589,459466386,46.5465441,6.6049323,2
330908109,46.5193469,6.6607244,330908111,46.5193190,6.6607409,2
1161491481,46.5446760,6.6556692,320323325,46.5448192,6.6557431,2
1050100919,46.5152495,6.6930063,268638525,46.5153110,6.6931532,2
5340503934,46.5292616,6.6140158,583408392,46.5293467,6.6139206,2
1506867974,46.5005093,6.7169933,310134374,46.5001472,6.7176039,2
3789005555,46.5874936,6.6418305,454536285,46.5875198,6.6418536,2
1057817154,46.5070707,6.7085223,4604984391,46.5065595,6.7089263,2
412501197,46.5247073,6.5778894,649748777,46.5247595,6.5780580,2
1425620781,46.5312521,6.5846539,1425620791,46.5313240,6.5846231,2
1575693092,46.5262825,6.5819632,267516516,46.5258210,6.5816751,2
570122577,46.5192274,6.6544605,580046829,46.5192087,6.6545636,2
2101684734,46.5540329,6.6345289,2102829584,46.5540582,6.6345480,2
581213661,46.5190994,6.6447811,581213668,46.5191310,6.6447241,2
266381320,46.5103152,6.6590532,3781943463,46.5103422,6.6590518,2
3948186968,46.5032684,6.7129881,4604948617,46.5036999,6.7122925,2
1234086867,46.5670411,6.6345347,3301613079,46.5669799,6.6345110,2
253204524,46.5220259,6.5734343,363850195,46.5219447,6.5733639,2
260929047,46.5347348,6.6212915,3761312258,46.5347170,6.6210972,2
1057818347,46.5098812,6.7045553,4605004497,46.5096969,6.7048420,2
1831336402,46.5514788,6.6623393,310281282,46.5515437,6.6624013,2
1506867971,46.4999997,6.7307889,310134364,46.4998458,6.7288776,2
330171533,46.5143365,6.6387509,337907716,46.5142245,6.6391120,2
1161948144,46.5433780,6.6546865,320323322,46.5431441,6.6545066,2
1412493562,46.5283624,6.6372534,765712028,46.5283145,6.6372513,2
1565506869,46.5091909,6.6564532,269745765,46.5092118,6.6563170,2
253267995,46.5128450,6.5462947,419408658,46.5119568,6.5488847,2
4605011290,46.4999783,6.7342416,4605011291,46.4999515,6.7345889,2
1161490754,46.5437852,6.6549997,1161948290,46.5438759,6.6550695,2
561463454,46.5170308,6.6305102,740538074,46.5169902,6.6305944,2
1404552369,46.5254178,6.6365694,290285920,46.5255230,6.6366429,2
258755829,46.5282437,6.6307239,5267668136,46.5282492,6.6306298,2
313144353,46.5297199,6.5610558,388419952,46.5298378,6.5608874,2
295490165,46.5252015,6.6322466,598560401,46.5252344,6.6321492,2
1071517592,46.5153414,6.6873857,4355873251,46.5152638,6.6882189,2
290285919,46.5250897,6.6363955,567927379,46.5249752,6.6364189,2
313148231,46.5217125,6.5731837,363850195,46.5219447,6.5733639,2
253268238,46.5216215,6.5718538,415915269,46.5216302,6.5725418,2
262480370,46.5581387,6.6022750,343766013,46.5575329,6.6018714,2
319404187,46.5385185,6.5697177,335903545,46.5379960,6.5700544,2
268958700,46.5711376,6.6338876,359665544,46.5709791,6.6340153,2
1727497540,46.5495248,6.5797601,330162250,46.5502620,6.5793133,2
598560401,46.5252344,6.6321492,598562139,46.5253428,6.6318504,2
1471342447,46.5409961,6.5630044,312059136,46.5409663,6.5627494,2
560594046,46.5202614,6.6582485,571534504,46.5201725,6.6585511,2
283829325,46.5394941,6.5820148,3226281913,46.5392433,6.5818694,2
3301398072,46.5513224,6.6325655,3301398074,46.5513358,6.6325477,2
1184824117,46.5799755,6.6355488,268958714,46.5797786,6.6353676,2
1057819209,46.4980764,6.7397828,329698724,46.4983357,6.7393244,2
253448804,46.5147632,6.6972033,320017374,46.5147795,6.6967853,2
265590262,46.5020753,6.6875996,4216060754,46.5021375,6.6875693,2
4355981931,46.5136497,6.6832565,4355981938,46.5137038,6.6833609,2
560973998,46.5218850,6.6585540,571534728,46.5217491,6.6584468,2
5234538635,46.5149285,6.6533587,766679812,46.5149518,6.6533234,2
376010062,46.5178118,6.5481268,376010072,46.5187085,6.5488322,2
341366598,46.5361130,6.6100563,4307239132,46.5367480,6.6094920,2
582627597,46.5358971,6.6325683,582627599,46.5356891,6.6325700,2
1444557611,46.5390718,6.5817699,3226281913,46.5392433,6.5818694,2
3086897056,46.5289731,6.6433378,60890418,46.5290206,6.6432695,2
268958702,46.5721563,6.6331669,3301613243,46.5722810,6.6331188,2
267469253,46.5096623,6.6513707,331242524,46.5096489,6.6512876,2
310134362,46.4998531,6.7353282,4605011292,46.4997475,6.7358616,2
2136994093,46.5480412,6.5810600,354722898,46.5479757,6.5811396,2
1412419410,46.5252263,6.6327417,602699637,46.5252052,6.6327167,2
1043749047,46.5432750,6.6624600,310281142,46.5432843,6.6624464,2
341343188,46.5436593,6.6395703,582615462,46.5434792,6.6393652,2
582627605,46.5371477,6.6324119,582627606,46.5371004,6.6324227,2
4604948615,46.5052829,6.7098557,4604948616,46.5054999,6.7096290,2
355932587,46.5317229,6.6110951,355932588,46.5328695,6.6104761,2
2132718652,46.5347553,6.6081881,358092038,46.5352695,6.6077649,2
330910135,46.5213697,6.6581478,571534565,46.5214609,6.6582197,2
1068483648,46.5548061,6.6349581,2101684764,46.5546173,6.6348744,2
5313866824,46.5045895,6.6868056,5344485400,46.5045834,6.6867987,2
582892423,46.5326458,6.6176333,582892424,46.5327212,6.6174719,2
2071275461,46.5589630,6.6358760,313153424,46.5590490,6.6358299,2
2297957228,46.5513461,6.6325261,2313165495,46.5514138,6.6325749,2
2692334590,46.5848746,6.6401791,350310389,46.5851156,6.6403258,2
581213653,46.5190240,6.6448442,581213654,46.5190538,6.6448320,2
2101684883,46.5572074,6.6355241,268958677,46.5567876,6.6354397,2
905307283,46.5205184,6.6622900,905307512,46.5206983,6.6618020,2
3397114604,46.5179689,6.6457543,615820082,46.5179325,6.6458289,2
4355981961,46.5140043,6.6838290,4355981967,46.5140903,6.6839442,2
363850177,46.5145983,6.5466174,363850180,46.5147197,6.5469375,2
649303070,46.5230415,6.5640376,649303071,46.5231749,6.5640493,2
292184224,46.5220540,6.5667640,332090226,46.5220522,6.5668848,2
330904197,46.5191824,6.6546447,580046829,46.5192087,6.6545636,2
367995152,46.5224954,6.5639229,649303051,46.5223980,6.5638350,2
599228817,46.5297371,6.6217760,599228819,46.5296484,6.6217935,2
358606820,46.5248603,6.5788816,3949779987,46.5249099,6.5797007,2
338467215,46.5345129,6.6011141,5043683634,46.5345027,6.6010075,2
5280752802,46.5088533,6.6566937,5280752804,46.5087459,6.6566380,2
253448836,46.5051456,6.6874018,4306384269,46.5052986,6.6874959,2
310106320,46.4994010,6.7364012,4604978601,46.4994788,6.7361285,2
571620756,46.5381263,6.6674062,572167039,46.5382735,6.6676319,2
2308748021,46.5353622,6.6112634,2308748025,46.5354611,6.6116030,2
280798803,46.5140828,6.6395840,330171535,46.5140709,6.6396453,2
295109094,46.5291373,6.6292477,565109309,46.5290561,6.6293923,2
1177288478,46.5448338,6.6659360,1177289160,46.5447768,6.6659173,2
615820126,46.5183854,6.6455188,615820128,46.5182548,6.6454120,2
1057817467,46.5000421,6.7318168,310106328,46.5000407,6.7326588,2
355932596,46.5311411,6.6103365,355932597,46.5307736,6.6103844,2
1071517592,46.5153414,6.6873857,269236735,46.5153581,6.6871539,2
562948162,46.5229228,6.6365685,567927320,46.5228953,6.6365379,2
1474544690,46.4972445,6.7423147,329698737,46.4973016,6.7420089,2
414572548,46.5228194,6.5744958,598696913,46.5228875,6.5746157,2
3410372338,46.5294185,6.6277000,3410372345,46.5297990,6.6267489,2
2159235826,46.5471062,6.5823901,335592424,46.5469427,6.5826617,2
280102877,46.5216284,6.5726049,415915269,46.5216302,6.5725418,2
268958701,46.5715818,6.6335070,3301613222,46.5713303,6.6337309,2
1016540855,46.5262281,6.6657768,330906580,46.5262002,6.6656619,2
1043792363,46.5427535,6.6650711,428423616,46.5427150,6.6652049,2
298009286,46.5513069,6.5787947,298009287,46.5513450,6.5788196,2
312057882,46.5235396,6.5198805,312057883,46.5236335,6.5201181,2
312433462,46.5420745,6.6378953,401330867,46.5423974,6.6382423,2
1057819243,46.5100375,6.7046217,4605004496,46.5098030,6.7049788,2
4618475199,46.5158690,6.6915081,4618475200,46.5160093,6.6916770,2
362758002,46.5186499,6.6533638,362758738,46.5188882,6.6534821,2
335903541,46.5406362,6.5610197,343732093,46.5404032,6.5601902,2
269236714,46.5146531,6.6909490,414225773,46.5147047,6.6904852,2
388419947,46.5220827,6.5646119,415963480,46.5221092,6.5644490,2
1412419404,46.5251547,6.6326129,561177331,46.5251705,6.6326553,2
1471342441,46.5409215,6.5656472,60406081,46.5409822,6.5652063,2
268638539,46.5148434,6.6972093,320017377,46.5148584,6.6967209,2
610317012,46.5129636,6.6303179,610317022,46.5123283,6.6317161,2
1161489828,46.5439882,6.6551558,1161948290,46.5438759,6.6550695,2
281251133,46.5133485,6.6832801,320017385,46.5133552,6.6834116,2
1056068608,46.5083184,6.6564161,5280752804,46.5087459,6.6566380,2
582892424,46.5327212,6.6174719,599196767,46.5327601,6.6174057,2
385446058,46.5372767,6.6495311,565051404,46.5369483,6.6492116,2
269586780,46.5132563,6.6268554,269590748,46.5120764,6.6266984,2
155053225,46.5201267,6.6379578,564683516,46.5200531,6.6378956,2
1071517520,46.5152406,6.6885594,4355873251,46.5152638,6.6882189,2
1041724052,46.5146847,6.6676284,1895885160,46.5146657,6.6674999,2
1181267390,46.5116888,6.6462099,1181267393,46.5114329,6.6462791,2
567544853,46.5166121,6.6118256,574442294,46.5166143,6.6116885,2
1057817360,46.4979114,6.7396907,1057820856,46.4976773,6.7402178,2
303902465,46.5111367,6.5487829,5285998925,46.5113254,6.5490665,2
621771748,46.5378567,6.6502851,621771765,46.5377443,6.6508832,2
3102621423,46.5362011,6.5760592,3102621424,46.5362029,6.5760279,2
1444351133,46.5366352,6.5817502,1470158709,46.5366348,6.5816885,2
1234086920,46.5618371,6.6343953,3301398234,46.5617178,6.6344020,2
1234086907,46.5640968,6.6337849,1234086921,46.5643391,6.6337794,2
2755966903,46.5391050,6.5810127,2755966904,46.5392545,6.5809156,2
298009285,46.5512853,6.5787506,298009286,46.5513069,6.5787947,2
621707653,46.5376678,6.6512901,621771761,46.5376626,6.6513238,2
3301613471,46.5772116,6.6355103,454528831,46.5771753,6.6355137,2
313144353,46.5297199,6.5610558,3293157566,46.5297365,6.5610913,2
21696294,46.5274042,6.5326188,312058206,46.5278173,6.5344474,2
1462979471,46.5103686,6.6590607,267469255,46.5103925,6.6590794,2
1161490367,46.5406961,6.6674132,1161491407,46.5406966,6.6673312,2
330902475,46.5170779,6.6522228,614926070,46.5171218,6.6522257,2
1057819371,46.4990946,6.7240381,310134367,46.4991828,6.7246460,2
310138571,46.5108068,6.7036504,4604997009,46.5110430,6.7034096,2
